Metabolite	Query_protein	Protein_name	Gene_ID	Uniprot_ID	Protein_complex	log2_abundance	log2_abundance_corrected	met_mean (model comparison)	met_sd (model comparison)	p_value	q_value	Common_metabolite_name	MIDAS_ID	Pool	KEGG_ID_metabolite	HMDB_ID_metabolite	SMILES_metabolite
NADP	PGK1	Phosphoglycerate kinase 1	PGK1	P00558		-0.910869382	1.850244322	0.023148425	0.178254585	1.18E-24	3.17E-22	NADP	CNC_31_R	2	C00006	HMDB00217	NC(=O)C1=C[N+](=CC=C1)[C@@H]1O[C@H](CO[P@](O)(=O)O[P@](O)(=O)OC[C@H]2O[C@H]([C@H](OP(O)(O)=O)[C@@H]2O)N2C=NC3=C(N)N=CN=C23)[C@@H](O)[C@H]1O
Nicotinamide adenine dinucleotide	PGK1	Phosphoglycerate kinase 1	PGK1	P00558		0.26508193	1.970567066	0.002021432	0.192595868	1.59E-24	4.25E-22	NAD	20C_70	2	 C00003	HMDB00902	NC(=O)C1=C[N+](=CC=C1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C2N=CN=C3N)[C@@H](O)[C@H]1O
Nicotinamide adenine dinucleotide	MDH2	"Malate dehydrogenase, mitochondrial"	MDH2	P40926		-3.718364659	-1.948446047	0.002021432	0.192595868	4.18E-24	1.10E-21	NAD	20C_70	2	 C00003	HMDB00902	NC(=O)C1=C[N+](=CC=C1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C2N=CN=C3N)[C@@H](O)[C@H]1O
Malonyl coenzyme A	ACC	Acetyl-CoA carboxylase 1	ACACA	Q13085		-2.350759198	-2.021756616	0.069387638	0.212125818	6.33E-23	1.61E-20	Malonyl-CoA	CNC_74	2	C00083	HMDB01175	CC(C)(COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N)C(O)C(=O)NCCC(=O)NCCSC(=O)CC(O)=O
Orotidine 5-monophosphate	ALDOCconc	Fructose-bisphosphate aldolase C	ALDOC	P09972		-3.220999233	-2.378857198	0.14514097	0.256355132	7.15E-23	1.81E-20	Orotidylic acid	CNC_77	4	C01103	HMDB00218	O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(O)=O)N1C(=O)NC(=O)C=C1C(O)=O
Cytidine 5-diphosphate	ALDOAconc	Fructose-bisphosphate aldolase A	ALDOA	P04075		-2.669657054	-1.591891955	-0.036324696	0.158262512	8.44E-23	2.13E-20	CDP	CNC_70	4	C00112	HMDB01546	NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O
O-Phospho-L-serine	ENO2	Gamma-enolase	ENO2	P09104		1.463708924	1.598245617	-0.017424468	0.165140443	1.32E-22	3.33E-20	Phosphoserine	P_2	4	C01005	HMDB00272	N[C@@H](COP(O)(O)=O)C(O)=O
Thymidine 5-triphosphate	PFKP	"ATP-dependent 6-phosphofructokinase, platelet type"	PFKP	Q01813		-3.373331552	-2.276860852	0.150815205	0.248366309	1.45E-22	3.62E-20	Thymidine 5'-triphosphate	CNC_89	4	C00459	HMDB01342	CC1=CN([C@H]2C[C@H](O)[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O2)C(=O)NC1=O
Xanthosine 5-monophosphate	IDH3A2BG	"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial; Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial; Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial"	IDH3A; IDH3B; IDH3G	P50213; O43837; P51553	A2BG	-1.251151659	-1.069064187	-0.017842855	0.109040675	5.39E-22	1.32E-19	Xanthylic acid	CNC_143	3	C00655	HMDB01554	O[C@@H]1[C@@H](COP(O)(O)=O)O[C@H]([C@@H]1O)N1C=NC2=C1NC(=O)NC2=O
5-Phospho-D-ribose 1-diphosphate	FBPase-M	"Fructose-1,6-bisphosphatase isozyme 2"	FBP2	O00757		-3.616837696	-2.412015666	0.140641604	0.268547514	1.99E-21	4.78E-19	Phosphoribosyl pyrophosphate	20C_49	4	C00119	HMDB00280	O[C@H]1[C@@H](O)[C@@H](OP(O)(=O)OP(O)(O)=O)O[C@@H]1COP(O)(O)=O
Xanthosine	ALDOBconc	Fructose-bisphosphate aldolase B	ALDOB	P05062		-1.082587605	-0.823442718	0.00828681	0.087723957	2.51E-21	6.01E-19	Xanthosine	X_4	3	C01762	HMDB00299	OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=C(O)N=C2O
L-a-Aspartyl-L-phenylalanine	E2	"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial"	DLAT	P10515	?	-2.908165772	-1.626055258	0.043544138	0.176767029	3.55E-21	8.41E-19	Aspartylphenylalanine	CNC_112	3		HMDB00706	N[C@@H](CC(O)=O)C(=O)N[C@@H](CC1=CC=CC=C1)C(O)=O
Deoxyadenosine monophosphate	FBPase-M	"Fructose-1,6-bisphosphatase isozyme 2"	FBP2	O00757		1.434108821	1.350918461	-0.070008472	0.151362996	6.14E-21	1.43E-18	Deoxyadenosine monophosphate	20C_36	4	C00360	HMDB00905	NC1=NC=NC2=C1N=CN2[C@H]1C[C@H](O)[C@@H](COP(O)(O)=O)O1
S-(5-Adenosyl)-L-homocysteine	MDH2	"Malate dehydrogenase, mitochondrial"	MDH2	P40926		-6.472921655	-4.009613799	0.17036876	0.447333413	9.26E-21	2.15E-18	S-Adenosylhomocysteine	CNC_203	1	C00021	HMDB00939	N[C@@H](CCSC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C(N)N=CN=C12)C(O)=O
Uridine monophosphate	ALDOBconc	Fructose-bisphosphate aldolase B	ALDOB	P05062		-1.657000463	-1.060852285	0.003821075	0.114188649	1.12E-20	2.59E-18	Uridine 5'-monophosphate	U_3	3	C00105	HMDB00288	O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(O)=O)N1C=CC(=O)NC1=O
D-Tagatose 6-phosphate	MDH2	"Malate dehydrogenase, mitochondrial"	MDH2	P40926		-2.681358233	-1.112183341	0.119279197	0.132486648	1.47E-20	3.35E-18	D-Tagatose 6-phosphate	20C_67	1	C01097	HMDB06873	OCC1(O)O[C@H](COP(O)(O)=O)[C@H](O)[C@@H]1O
Guanosine diphosphate mannose	PGK1	Phosphoglycerate kinase 1	PGK1	P00558		-0.068757833	0.885795178	-0.035912054	0.09938357	1.79E-20	4.06E-18	Guanosine diphosphate mannose	CNC_83	2	C00096	HMDB01163	NC1=NC2=C(N=CN2[C@@H]2O[C@H](COP(O)(=O)OP(O)(=O)O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C(=O)N1
"Adenosine 3,5-diphosphate"	PGAM1	Phosphoglycerate mutase 1	PGAM1	 P18669		1.006608759	1.128836783	-0.031784661	0.125332365	2.04E-20	4.61E-18	"Adenosine 3',5'-diphosphate"	CNC_92	4	C00054	HMDB00061	NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](OP(O)(O)=O)[C@H]1O
Thymidine 5-triphosphate	IDH3AG	"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial; Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial"	IDH3A; IDH3G	P50213; P51553	AG	-3.636311603	-2.111728639	0.150815205	0.248366309	8.26E-20	1.82E-17	Thymidine 5'-triphosphate	CNC_89	4	C00459	HMDB01342	CC1=CN([C@H]2C[C@H](O)[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O2)C(=O)NC1=O
Oxaloacetic acid	MDH2	"Malate dehydrogenase, mitochondrial"	MDH2	P40926		0.175101146	1.595747004	-0.016641677	0.181304743	5.93E-19	1.26E-16	Oxalacetic acid	20C_1	3	C00036	HMDB00223	OC(=O)CC(=O)C(O)=O
"2,3-Diphospho-D-glyceric acid"	PGK1	Phosphoglycerate kinase 1	PGK1	P00558		-3.044205936	1.238499243	0.027534283	0.13812007	1.83E-18	3.80E-16	"2,3-Diphosphoglyceric acid"	CNC_94	4	C01159	HMDB01294	OC(=O)[C@@H](COP(O)(O)=O)OP(O)(O)=O
Inosine 5-monophosphate	E2	"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial"	DLAT	P10515	?	-1.902120237	-1.309348443	0.016457097	0.151986244	2.70E-18	5.61E-16	Inosinic acid	I_3	2	C00130	HMDB00175	O[C@@H]1[C@@H](COP(O)(O)=O)O[C@H]([C@@H]1O)N1C=NC2=C1N=CNC2=O
"2,3-Diphospho-D-glyceric acid"	GAPDH	Glyceraldehyde-3-phosphate dehydrogenase	GAPDH	P04406		-3.425284907	-1.175700197	0.027534283	0.13812007	3.00E-18	6.18E-16	"2,3-Diphosphoglyceric acid"	CNC_94	4	C01159	HMDB01294	OC(=O)[C@@H](COP(O)(O)=O)OP(O)(O)=O
Deoxyguanylate	DHTKD1r	"Probable 2-oxoglutarate dehydrogenase E1 component DHKTD1, mitochondrial"	DHTKD1	Q96HY7		1.212922574	1.273320898	0.007249429	0.146567107	5.71E-18	1.16E-15	2'-Deoxyguanosine 5'-monophosphate	20C_23	4	C00362	HMDB01044	NC1=NC2=C(N=CN2[C@H]2C[C@H](O)[C@@H](COP(O)(O)=O)O2)C(=O)N1
3-Hydroxybutyryl coenzyme A	GCK	Hexokinase-4	GCK	P35557		-0.75535299	1.454531238	0.029041878	0.1657745	8.04E-18	1.61E-15	3-Hydroxybutyryl-CoA	CNC_63	4	C01144	HMDB01166	C[C@@H](O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N
Guanosine 5-diphosphate	PKM2	Pyruvate kinase PKM	PKM	P14618		-2.273852612	-1.876709576	0.001429857	0.218425615	8.07E-18	1.61E-15	Guanosine diphosphate	CNC_88	4	C00035	HMDB01201	NC1=NC2=C(N=CN2[C@@H]2O[C@H](COP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]2O)C(=O)N1
Guanosine 5-diphosphate	PYK	Pyruvate kinase PKLR	PKLR	P30613		-2.072672852	-1.842609701	0.001429857	0.218425615	3.11E-17	6.02E-15	Guanosine diphosphate	CNC_88	4	C00035	HMDB01201	NC1=NC2=C(N=CN2[C@@H]2O[C@H](COP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]2O)C(=O)N1
(R)-3-Hydroxybutyric acid	E2	"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial"	DLAT	P10515	?	0.717032648	1.15182487	-0.037168408	0.142244177	6.33E-17	1.21E-14	(R)-3-Hydroxybutyric acid	CNC_153	2	C01089	HMDB00011	C[C@@H](O)CC(O)=O
Flavin adenine dinucleotide	LDHA	L-lactate dehydrogenase A chain	LDHA	P00338		1.164054406	1.128015613	-0.083880593	0.145035848	6.50E-17	1.24E-14	FAD	CNC_11	2	C00016	HMDB01248	CC1=CC2=C(C=C1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC3=C1N=CN=C3N)C1=NC(=O)NC(=O)C1=N2
"D-myo-Inositol-1,4,5-triphosphate"	GAPDH	Glyceraldehyde-3-phosphate dehydrogenase	GAPDH	P04406		-5.879738243	-2.323216815	0.051204005	0.288805428	2.01E-16	3.74E-14	"Inositol 1,4,5-trisphosphate"	Cay_7	4	C01245	HMDB01498	O[C@@H]1[C@H](O)[C@@H](OP(O)(O)=O)[C@H](OP(O)(O)=O)[C@@H](O)[C@@H]1OP(O)(O)=O
Adenosine	GCK	Hexokinase-4	GCK	P35557		-1.41139052	-1.404529219	0.257930381	0.205241299	5.49E-16	9.88E-14	Adenosine	4C_14	1	C00212	HMDB00050	NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
L-Fucose 1-phosphate	GCK	Hexokinase-4	GCK	P35557		-1.88551923	-1.190458384	-0.01619993	0.145231583	6.19E-16	1.11E-13	Fucose 1-phosphate	20C_65	4	C02985	HMDB01265	C[C@@H]1OC(OP(O)(O)=O)[C@@H](O)[C@H](O)[C@@H]1O
D-Glyceraldehyde 3-phosphate	ALDOBconc	Fructose-bisphosphate aldolase B	ALDOB	P05062		1.007253937	1.23505532	0.016041581	0.151934391	1.03E-15	1.82E-13	D-Glyceraldehyde 3-phosphate	20C_4	3	C00118	HMDB01112	OC(COP(O)(O)=O)C=O
Glycerone phosphate	ALDOBconc	Fructose-bisphosphate aldolase B	ALDOB	P05062		1.007253937	1.23505532	0.016041581	0.151934391	1.03E-15	1.82E-13	Dihydroxyacetone phosphate	20C_60	3	 C00111	HMDB01473	OCC(=O)COP(O)(O)=O
D-Glucosamine 6-phosphate	ALDOCconc	Fructose-bisphosphate aldolase C	ALDOC	P09972		-1.730013468	-1.376946542	-0.010885097	0.170449645	1.11E-15	1.95E-13	Glucosamine 6-phosphate	CNC_9	4	C00352	HMDB01254	N[C@H]1[C@@H](O)O[C@H](COP(O)(O)=O)[C@@H](O)[C@@H]1O
Phosphocholine	IDH2	"Isocitrate dehydrogenase [NADP], mitochondrial"	IDH2	P48735		0.32939635	0.863461072	0.054600312	0.100938229	1.12E-15	1.96E-13	Phosphorylcholine	20C_21	1	C00588	HMDB01565	C[N+](C)(C)CCOP(O)(O)=O
"2,3-Dihydroxypropyl hexopyranoside"	E3	"Dihydrolipoyl dehydrogenase, mitochondrial"	DLD	P09622	?	-2.158519565	-1.311664699	-0.008467388	0.1635986	1.64E-15	2.85E-13	Galactosylglycerol	Cay_5	2	C05401	HMDB06790	OCC(O)CO[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O
D-Fructose 6-phosphate	MDH2	"Malate dehydrogenase, mitochondrial"	MDH2	P40926		-3.657294706	-1.296578046	-0.013828153	0.162124444	2.53E-15	4.25E-13	Fructose 6-phosphate	F_6	4	C00085	HMDB00124	OCC(=O)[C@@H](O)[C@H](O)[C@H](O)COP(O)(O)=O
D-Galactose 1-phosphate	MDH2	"Malate dehydrogenase, mitochondrial"	MDH2	P40926		-3.657294706	-1.296578046	-0.013828153	0.162124444	2.53E-15	4.25E-13	Galactose 1-phosphate	20C_66	4	 C00446	HMDB00645	OC[C@H]1O[C@H](OP(O)(O)=O)[C@H](O)[C@@H](O)[C@H]1O
D-Glucose 1-phosphate	MDH2	"Malate dehydrogenase, mitochondrial"	MDH2	P40926		-3.657294706	-1.296578046	-0.013828153	0.162124444	2.53E-15	4.25E-13	Glucose 1-phosphate	20C_3	4	C00103	HMDB01586	OC[C@H]1OC(OP(O)(O)=O)[C@H](O)[C@@H](O)[C@@H]1O
D-Glucose 6-phosphate	MDH2	"Malate dehydrogenase, mitochondrial"	MDH2	P40926		-3.657294706	-1.296578046	-0.013828153	0.162124444	2.53E-15	4.25E-13	Glucose 6-phosphate	20C_5	4	C00668	HMDB01401	OC1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@H]1O
D-Mannose 6-phosphate	MDH2	"Malate dehydrogenase, mitochondrial"	MDH2	P40926		-3.657294706	-1.296578046	-0.013828153	0.162124444	2.53E-15	4.25E-13	Mannose 6-phosphate	20C_64	4	C00275	HMDB01078	O[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@@H]1O
D-Mannose 6-phosphate_1	MDH2	"Malate dehydrogenase, mitochondrial"	MDH2	P40926		-3.657294706	-1.296578046	-0.013828153	0.162124444	2.53E-15	4.25E-13						
Mannose 1-phosphate	MDH2	"Malate dehydrogenase, mitochondrial"	MDH2	P40926		-3.657294706	-1.296578046	-0.013828153	0.162124444	2.53E-15	4.25E-13	D-Mannose 1-phosphate	CNC_69	4	C00636	HMDB06330	OC[C@H]1OC(OP(O)(O)=O)[C@@H](O)[C@@H](O)[C@@H]1O
3-Sulfopyruvic acid	PGK1	Phosphoglycerate kinase 1	PGK1	P00558		-0.64298863	1.61697963	0.069336921	0.196816482	3.74E-15	6.21E-13	3-Sulfopyruvic acid	CNC_102	3	C05528	HMDB04045	OC(=O)C(=O)CS(O)(=O)=O
D-Tagatose 6-phosphate	FBPase-L	"Fructose-1,6-bisphosphatase 1"	FBP1	P09467		-2.145469685	-0.917138705	0.119279197	0.132486648	5.17E-15	8.43E-13	D-Tagatose 6-phosphate	20C_67	1	C01097	HMDB06873	OCC1(O)O[C@H](COP(O)(O)=O)[C@H](O)[C@@H]1O
Guanosine	E2	"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial"	DLAT	P10515	?	-0.632162212	-0.587591428	0.014577626	0.077037314	5.43E-15	8.83E-13	Guanosine	G_19	3	C00387	HMDB00133	NC1=NC2=C(N=CN2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C(=O)N1
Deoxyadenosine diphosphate	IDH3AB	"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial; Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial"	IDH3A; IDH3B	P50213; O43837	AB	1.449840797	1.626244127	-0.061613014	0.216423387	6.25E-15	1.01E-12	dADP	20C_74	2	 C00206	HMDB01508	NC1=NC=NC2=C1N=CN2C1C[C@H](O)[C@@H](COP(O)(=O)OP(O)(O)=O)O1
3-Sulfopyruvic acid	E2	"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial"	DLAT	P10515	?	-2.64897783	-1.463928243	0.069336921	0.196816482	6.68E-15	1.08E-12	3-Sulfopyruvic acid	CNC_102	3	C05528	HMDB04045	OC(=O)C(=O)CS(O)(=O)=O
2-Deoxycytidine	TPI	Triosephosphate isomerase	TPI1	P60174		-3.082519657	-2.229676116	0.107194975	0.305975296	2.22E-14	3.44E-12	Deoxycytidine	20C_25	1	C00881	HMDB00014	NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](CO)O1
Adenosine monophosphate	FBPase-M	"Fructose-1,6-bisphosphatase isozyme 2"	FBP2	O00757		2.046642275	1.792028682	-0.064392101	0.245523494	4.00E-14	6.03E-12	Adenosine monophosphate	A_7	3	C00020	HMDB00045	NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O
Nicotinamide ribotide	ALDOCconc	Fructose-bisphosphate aldolase C	ALDOC	P09972		-1.960492091	-1.334076852	0.075998141	0.186623951	4.17E-14	6.27E-12	Nicotinamide ribotide	CNC_14	2	C00455	HMDB00229	NC(=O)C1=CC=C[N+](=C1)[C@@H]1O[C@H](COP(O)([O-])=O)[C@@H](O)[C@H]1O
Phosphatidylglycerol	PGK1	Phosphoglycerate kinase 1	PGK1	P00558		-2.601952047	-1.498864325	-0.011961544	0.197488505	5.11E-14	7.57E-12	Phosphatidylglycerol	AVL_8	4			CCCCCC(=O)OC[C@H](COP(=O)([O-])OCC(CO)O)OC(=O)CCCCC
"2,3-Dihydroxypropanoic acid"	PGAM1	Phosphoglycerate mutase 1	PGAM1	 P18669		0.914311107	0.932562145	-0.017760045	0.126806979	6.67E-14	9.76E-12	Glyceric acid	CNC_113	4	C00258	HMDB00139	OC[C@@H](O)C(O)=O
3-Hydroxy-3-methylglutaryl coenzyme A	PGK1	Phosphoglycerate kinase 1	PGK1	P00558		-1.648648107	1.707831386	-0.006847865	0.228957897	6.94E-14	1.01E-11	3-Hydroxy-3-methylglutaryl-CoA	20C_45	2	C00356	HMDB01375	C[C@](O)(CC(O)=O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N
2-Deoxyribose-5-phosphate	PGK1	Phosphoglycerate kinase 1	PGK1	P00558		-3.053719619	-1.631157164	-0.023766695	0.215500742	8.73E-14	1.25E-11	Deoxyribose 5-phosphate	20C_44	4	C00673	HMDB01031	O[C@H]1C[C@H](O)[C@@H](COP(O)(O)=O)O1
Deoxyguanylate	E2	"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial"	DLAT	P10515	?	-1.165966861	-1.082964335	0.007249429	0.146567107	1.02E-13	1.46E-11	2'-Deoxyguanosine 5'-monophosphate	20C_23	4	C00362	HMDB01044	NC1=NC2=C(N=CN2[C@H]2C[C@H](O)[C@@H](COP(O)(O)=O)O2)C(=O)N1
Decanoic acid	IDH1	Isocitrate dehydrogenase [NADP] cytoplasmic	IDH1	O75874		1.360335387	1.303845135	-0.045190097	0.181635355	1.11E-13	1.58E-11	Capric acid	D_4	4	C01571	HMDB00511	CCCCCCCCCC(O)=O
O-Phosphorylethanolamine	MDH2	"Malate dehydrogenase, mitochondrial"	MDH2	P40926		-1.760791388	-0.798338507	0.034778721	0.112431931	1.26E-13	1.78E-11	O-Phosphoethanolamine	20C_20	1	C00346	HMDB00224	NCCOP(O)(O)=O
"2,5-Dihydroxybenzoic acid"	E2	"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial"	DLAT	P10515	?	-0.656472012	-0.86583508	0.042444524	0.122820306	1.41E-13	1.98E-11	Gentisic acid	D_9	4	C00628	HMDB00152	OC(=O)C1=CC(O)=CC=C1O
Nicotinamide hypoxanthine dinucleotide	PGK1	Phosphoglycerate kinase 1	PGK1	P00558		-0.092036316	0.971045593	0.002230661	0.131112101	1.48E-13	2.05E-11	NHD	CNC_67	2	C04423		c1cc(c[n+](c1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4[nH]cnc5=O)O)O)O)O)C(=O)N
Octanoyl coenzyme A	PGK1	Phosphoglycerate kinase 1	PGK1	P00558		-12.07784247	-4.520095892	0.275592224	0.652995352	2.07E-13	2.86E-11	Octanoyl-CoA	CNC_78	2	C01944	HMDB01070	CCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(O)(=O)OP(O)(=O)OCC1OC(C(O)C1OP(O)(O)=O)N1C=NC2=C(N)N=CN=C12
S-(5-Adenosyl)-L-homocysteine	GCK	Hexokinase-4	GCK	P35557		-6.306746988	-3.105203638	0.17036876	0.447333413	2.44E-13	3.34E-11	S-Adenosylhomocysteine	CNC_203	1	C00021	HMDB00939	N[C@@H](CCSC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C(N)N=CN=C12)C(O)=O
5-Phospho-D-ribose 1-diphosphate	PGAM1	Phosphoglycerate mutase 1	PGAM1	 P18669		-2.413622433	-1.814493024	0.140641604	0.268547514	3.33E-13	4.52E-11	Phosphoribosyl pyrophosphate	20C_49	4	C00119	HMDB00280	O[C@H]1[C@@H](O)[C@@H](OP(O)(=O)OP(O)(O)=O)O[C@@H]1COP(O)(O)=O
5-Phospho-D-ribose 1-diphosphate	PGK1	Phosphoglycerate kinase 1	PGK1	P00558		-8.851160982	-1.810049998	0.140641604	0.268547514	3.76E-13	5.08E-11	Phosphoribosyl pyrophosphate	20C_49	4	C00119	HMDB00280	O[C@H]1[C@@H](O)[C@@H](OP(O)(=O)OP(O)(O)=O)O[C@@H]1COP(O)(O)=O
L-Cystine	PGK1	Phosphoglycerate kinase 1	PGK1	P00558		0.314756792	1.530946909	0.031498598	0.20726022	4.67E-13	6.29E-11	L-Cystine	C_9	2	C00491	HMDB00192	N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O
"D-Fructose 1,6-bisphosphate"	MDH2	"Malate dehydrogenase, mitochondrial"	MDH2	P40926		-4.866406738	-1.195589048	-0.024882018	0.162676824	6.18E-13	8.29E-11	"beta-D-Fructose 1,6-bisphosphate"	20C_7	4	C05378	HMDB60444	O[C@H]1[C@H](O)[C@@](O)(COP(O)(O)=O)O[C@@H]1COP(O)(O)=O
"D-Glucose 1,6-bisphosphate"	MDH2	"Malate dehydrogenase, mitochondrial"	MDH2	P40926		-4.866406738	-1.195589048	-0.024882018	0.162676824	6.18E-13	8.29E-11	"Alpha-D-Glucose 1,6-bisphosphate"	CNC_66	4	C01231	HMDB03514	O[C@H]1[C@H](O)[C@@H](COP(O)(O)=O)O[C@H](OP(O)(O)=O)[C@@H]1O
2-Deoxy-5-cytidylic acid	ALDOCconc	Fructose-bisphosphate aldolase C	ALDOC	P09972		-1.17959236	-1.02510606	-0.016800291	0.142345058	1.41E-12	1.80E-10	dCMP	20C_75	4	 C00239	HMDB01202	NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](COP(O)(O)=O)O1
Riboflavin 5-monophosphate	PKM2	Pyruvate kinase PKM	PKM	P14618		0.842429181	0.914624714	-0.0082797	0.130571133	1.57E-12	1.99E-10	Flavin Mononucleotide	20C_71	2	C00061	HMDB01520	CC1=CC2=C(C=C1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(O)(O)=O)C1=NC(=O)NC(=O)C1=N2
4-Pyridoxic acid	E3	"Dihydrolipoyl dehydrogenase, mitochondrial"	DLD	P09622	?	0.988012625	0.879009372	0.021997055	0.121645702	1.85E-12	2.32E-10	4-Pyridoxic acid	CNC_187	4	C00847	HMDB00017	CC1=NC=C(CO)C(C(O)=O)=C1O
Uridine monophosphate	E2	"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial"	DLAT	P10515	?	-1.174068423	-0.800464972	0.003821075	0.114188649	1.87E-12	2.35E-10	Uridine 5'-monophosphate	U_3	3	C00105	HMDB00288	O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(O)=O)N1C=CC(=O)NC1=O
Phosphocholine	IDH1	Isocitrate dehydrogenase [NADP] cytoplasmic	IDH1	O75874		-0.985587388	-0.656104921	0.054600312	0.100938229	1.91E-12	2.38E-10	Phosphorylcholine	20C_21	1	C00588	HMDB01565	C[N+](C)(C)CCOP(O)(O)=O
D-Fructose	IDH3A2BG	"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial; Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial; Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial"	IDH3A; IDH3B; IDH3G	P50213; O43837; P51553	A2BG	-0.408628397	0.709789014	0.010618242	0.099434299	2.04E-12	2.52E-10	D-Fructose	F_2	1	C00095	HMDB00660	OC[C@H]1O[C@](O)(CO)[C@@H](O)[C@@H]1O
D-Galactose	IDH3A2BG	"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial; Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial; Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial"	IDH3A; IDH3B; IDH3G	P50213; O43837; P51553	A2BG	-0.408628397	0.709789014	0.010618242	0.099434299	2.04E-12	2.52E-10	D-Galactose	G_8	1	C00124	HMDB00143	OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@H]1O
